Energy Grid,Fitness_1,Fitness_2,Fitness_3
"(21, 71, 73, 88, 89, 94, 95, 98, 125)",0.107452313931238,0.2017226942437046,0.14474096371315848
"(3, 9, 13, 21, 67, 77, 94, 95, 125)",0.24814951052472134,0.04887844061943902,0.1853978163570973
"(9, 18, 78, 88, 89, 94, 97, 122, 138)",0.08210767112965145,0.11892892760384366,0.21775718572435476
"(3, 9, 13, 21, 70, 76, 94, 95, 122)",0.2519634951352624,0.048854197048306625,0.17383380842342677
"(9, 13, 21, 71, 73, 78, 94, 95, 124)",0.24084967288826986,0.059723514954246215,0.14238791386990368
"(3, 6, 7, 9, 13, 19, 23, 70, 130)",0.32778972275081175,0.017932764202648777,0.2437261107263503
"(20, 71, 73, 88, 89, 91, 94, 97, 133)",0.08890124395299792,0.20388032660595723,0.18867129606763422
"(9, 13, 21, 71, 73, 88, 89, 94, 95)",0.2512144088692808,0.05999570870140125,0.11095400562317204
"(21, 65, 78, 88, 89, 91, 94, 97, 122)",0.07749544447338241,0.20167088233721764,0.25375620113582775
"(9, 19, 71, 73, 88, 89, 94, 95, 138)",0.13147036785674582,0.11540302079660636,0.10255782283493997
"(9, 18, 22, 88, 89, 94, 95, 97, 122)",0.11370534913862285,0.09754974523283799,0.17309506419424336
"(9, 13, 19, 78, 88, 89, 94, 96, 125)",0.11292542555583707,0.0637071691689236,0.18342214289229297
"(9, 13, 19, 71, 73, 88, 94, 95, 122)",0.21323978775758068,0.06365299935695112,0.13860600720580918
"(9, 13, 21, 88, 89, 94, 95, 97, 122)",0.11376478320013161,0.05974366040839718,0.16049135509839152
"(9, 19, 65, 75, 88, 89, 94, 95, 124)",0.12280937236468592,0.11498418733880844,0.15165850499841205
"(3, 9, 13, 21, 66, 76, 88, 89, 130)",0.15374483667995764,0.04882669442095744,0.1959780459731174
"(21, 71, 74, 88, 89, 94, 95, 97, 122)",0.09903664226308284,0.201721388650823,0.16000374846990317
"(3, 9, 13, 21, 70, 73, 94, 95, 125)",0.27273305544352633,0.048891009559634324,0.14621917467927892
"(9, 13, 20, 71, 74, 88, 89, 94, 95)",0.24973457827206513,0.06219865135395242,0.12091165139608051
"(9, 19, 54, 88, 89, 94, 95, 97, 133)",0.11368547962896725,0.11440759672446355,0.16854888963762094
"(6, 7, 9, 13, 21, 71, 73, 94, 96)",0.40186721729042274,0.03312904347014023,0.18221581539003218
"(6, 7, 9, 13, 21, 68, 88, 89, 125)",0.1538977497190226,0.03290858623879911,0.20185093763472794
"(6, 7, 9, 13, 19, 87, 94, 95, 133)",0.24036975747813194,0.03679328441438101,0.19072982226489066
