Energy Grid,Fitness_1,Fitness_2,N_Groups
"(6, 7, 9, 13, 14, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 138, 171)",0.09442854797706968,0.044451508634268055,18.0
"(6, 7, 9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 102, 103, 108, 110, 138, 171)",0.1117886722454342,0.04188694217526179,18.0
"(9, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.044788209838502735,0.06878438384647412,18.0
"(19, 86, 87, 88, 89, 94, 95, 96, 97, 102, 103, 108, 110, 111, 138, 171, 260, 283)",0.03758170094250657,0.15463803965874534,18.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171, 266)",0.05971206904755544,0.0497730346352645,18.0
"(86, 87, 88, 89, 94, 96, 97, 102, 103, 105, 106, 108, 110, 111, 138, 171, 260, 283)",0.03345515171940727,0.25609259444868393,18.0
"(9, 13, 14, 19, 70, 74, 87, 88, 89, 94, 95, 96, 102, 103, 108, 110, 138, 173)",0.08440644860391311,0.047263774273605175,18.0
"(9, 19, 70, 74, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 171, 262, 283)",0.044566093194958856,0.08058384041859501,18.0
"(9, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171, 260)",0.05476303956812845,0.06888729018048623,17.0
"(21, 86, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 111, 138, 171, 260, 283)",0.03917499602444652,0.15805671831546786,17.0
"(9, 19, 87, 88, 89, 94, 95, 97, 102, 103, 105, 108, 110, 138, 171, 260, 283)",0.04331802382048755,0.10377848368403864,17.0
"(9, 13, 19, 70, 75, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 261)",0.06018265618145657,0.06806829042082452,17.0
"(9, 13, 21, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.04520514864388803,0.08899542993842957,17.0
"(9, 19, 70, 75, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 260, 283)",0.05050436537689251,0.07544272992187939,17.0
"(6, 7, 9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 96, 102, 103, 138, 171)",0.11015950118389761,0.048032440283801714,17.0
"(9, 13, 19, 70, 75, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 260)",0.06053988510885222,0.05640937484454922,17.0
"(6, 7, 9, 13, 19, 70, 75, 87, 88, 89, 94, 95, 97, 102, 103, 138, 171)",0.0943829200902766,0.05076938683151433,17.0
"(6, 7, 9, 13, 14, 19, 70, 74, 87, 88, 89, 94, 95, 102, 103, 138, 171)",0.13830408029630292,0.0464663928162764,17.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171)",0.0691621196811727,0.051180138776750095,17.0
"(9, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171)",0.0691621196811727,0.0702095066930366,16.0
"(9, 19, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 171, 262, 283)",0.04498594287330926,0.11723737022731939,16.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 102, 103, 108, 110, 138, 171)",0.1117886722454342,0.05320934218319173,16.0
"(9, 19, 70, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 260, 283)",0.05067077312397483,0.10026795442331204,16.0
"(6, 7, 9, 13, 19, 70, 75, 87, 88, 89, 94, 95, 102, 103, 138, 171)",0.1382561292708282,0.05279771027847624,16.0
"(9, 13, 19, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 260, 280)",0.054973835128102055,0.08946323502278541,16.0
"(87, 88, 89, 94, 95, 97, 102, 103, 105, 108, 110, 111, 138, 171, 260, 283)",0.04048650722736424,0.24227003752001042,16.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 107, 138, 171)",0.09362239972785624,0.05810905280228362,16.0
"(27, 86, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.04071333536992705,0.19558968905372676,16.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 138, 171, 260)",0.0796340908915878,0.05846485711391747,16.0
"(19, 86, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.04071458459377575,0.17018746497647197,16.0
"(9, 19, 70, 75, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 260)",0.06053988510885222,0.07554637743499859,16.0
"(9, 19, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 260, 281)",0.05335469065343834,0.10931137619681597,15.0
"(9, 19, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.04704053827477428,0.1266904733080264,15.0
"(9, 21, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.047037523945774096,0.14103942621764753,15.0
"(21, 86, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.04588473057859088,0.16472533319957783,15.0
"(9, 13, 19, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 260)",0.06101088089220541,0.08958015887176296,15.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 96, 102, 103, 138, 171)",0.11015950118389761,0.0594288156088727,15.0
"(3, 9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 102, 103, 138, 171)",0.13830408029630292,0.05747366555242772,15.0
"(87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 111, 138, 171, 260, 283)",0.041060632981396505,0.2582734888624276,15.0
"(9, 13, 19, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 173)",0.06954151528369323,0.08702304075396528,15.0
"(9, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 110, 138, 260)",0.08071243844137177,0.0816148419504168,15.0
"(9, 19, 70, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 260)",0.060708070776724465,0.10037446209166645,15.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 138, 171)",0.09442854797706968,0.0597724167276924,15.0
"(9, 19, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171, 263)",0.059210967017206184,0.1267203098996681,14.0
"(9, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 138, 262)",0.08741880299012839,0.08186223161194861,14.0
"(9, 13, 19, 70, 75, 87, 88, 89, 94, 95, 97, 102, 138, 260)",0.10201800424685203,0.07270609103666126,14.0
"(9, 19, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171)",0.06959306834413292,0.10643738469664832,14.0
"(9, 19, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171, 260)",0.05703919328819229,0.12680020383064305,14.0
"(19, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 260, 282)",0.05210529979902201,0.16191840139832547,14.0
"(9, 19, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 261)",0.06199126292873969,0.10941662650257489,14.0
"(9, 13, 19, 70, 75, 87, 88, 89, 94, 95, 102, 103, 138, 171)",0.1382561292708282,0.06425211952758803,14.0
"(9, 19, 70, 75, 87, 88, 89, 94, 95, 97, 102, 103, 138, 171)",0.0943829200902766,0.08145663819097038,14.0
"(19, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171, 262, 283)",0.048136241550724934,0.18037502999622257,14.0
"(9, 13, 19, 87, 88, 89, 94, 95, 97, 102, 103, 138, 171, 261)",0.08080995133624758,0.09419173241320189,14.0
"(9, 20, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260, 283)",0.05281241522318969,0.13785033657645585,14.0
"(86, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.043852852108995366,0.27149686628398717,14.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 96, 102, 103, 138)",0.1258558292235996,0.065894866834597,14.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 138, 262)",0.10390273793576554,0.07023246143287631,14.0
"(19, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 262)",0.06276905466670823,0.1620177820612193,13.0
"(9, 13, 19, 87, 88, 89, 94, 95, 97, 102, 103, 138, 171)",0.09487152638105734,0.09558212403234545,13.0
"(9, 13, 19, 87, 88, 89, 94, 95, 97, 102, 103, 138, 261)",0.0870592099678682,0.09852549007077771,13.0
"(9, 13, 19, 70, 74, 88, 89, 94, 95, 97, 102, 138, 260)",0.12131113809711025,0.08146953634798004,13.0
"(22, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260, 283)",0.052809289908590684,0.19224614542771545,13.0
"(9, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 138)",0.10984744414904413,0.08558358083561757,13.0
"(9, 20, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260)",0.062872651098967,0.13796148765813376,13.0
"(9, 19, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171)",0.07147357007754107,0.12821025064137448,13.0
"(87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171, 263, 282)",0.0503564902044259,0.271457093655891,13.0
"(9, 13, 19, 70, 75, 88, 89, 94, 95, 97, 102, 138, 260)",0.12100258274941789,0.08438611938908303,13.0
"(33, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260, 283)",0.05278796280555187,0.22895980071943012,13.0
"(19, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171, 262)",0.058313389731138754,0.18045933976387107,13.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 102, 103, 138)",0.15452275252194336,0.06830285182223017,13.0
"(9, 19, 87, 88, 89, 94, 95, 97, 102, 103, 138, 171, 261)",0.08080995133624758,0.11414456595847655,13.0
"(47, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260)",0.06280335593624653,0.26554444067830296,12.0
"(9, 13, 21, 87, 88, 89, 94, 95, 97, 102, 103, 138)",0.11029487086979362,0.10617440708923132,12.0
"(19, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171)",0.07147357007754107,0.1820271421383225,12.0
"(22, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260)",0.0628694922336488,0.19236478271707924,12.0
"(9, 22, 87, 88, 89, 94, 97, 102, 103, 138, 260, 283)",0.07762765839063746,0.16522038871240796,12.0
"(87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171, 260)",0.05706114788506411,0.271638455246594,12.0
"(9, 19, 70, 75, 87, 88, 89, 94, 96, 102, 103, 138)",0.12612509974780406,0.10049600770182643,12.0
"(9, 13, 19, 70, 74, 88, 89, 94, 95, 97, 102, 138)",0.14655842222696847,0.08516936676162623,12.0
"(33, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260)",0.06284793618697726,0.22908408790201507,12.0
"(9, 13, 19, 87, 88, 89, 94, 95, 97, 102, 138, 260)",0.10251076717971175,0.10648166619860644,12.0
"(9, 19, 87, 88, 89, 94, 96, 97, 102, 103, 138, 260)",0.08467898071935087,0.1310957954948303,12.0
"(9, 19, 87, 88, 89, 94, 97, 102, 103, 110, 138, 261)",0.0840569791282324,0.14037128374727015,12.0
"(9, 19, 87, 88, 89, 94, 97, 102, 103, 138, 260, 283)",0.07763240171089414,0.14055880724368164,12.0
"(9, 19, 70, 74, 87, 88, 89, 94, 95, 96, 102, 138)",0.14307882903652802,0.09305701467890948,12.0
"(9, 13, 19, 87, 88, 89, 94, 95, 97, 102, 103, 138)",0.11029809951600777,0.10230854896079666,12.0
"(9, 13, 19, 70, 74, 88, 89, 94, 95, 102, 138, 262)",0.1685821757775554,0.0835459191579857,12.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 102, 138)",0.17234207673331725,0.07598618930912804,12.0
"(9, 19, 87, 88, 89, 94, 95, 97, 102, 103, 138, 262)",0.08785837712951172,0.11856892058179058,12.0
"(9, 22, 87, 88, 89, 94, 97, 102, 103, 138, 260)",0.08796157763562962,0.1653351846155785,11.0
"(9, 13, 19, 87, 88, 89, 94, 95, 102, 103, 138)",0.15499723370872365,0.10445359587213565,11.0
"(9, 13, 19, 70, 74, 88, 89, 94, 95, 102, 138)",0.19326415104645134,0.08727413305593124,11.0
"(31, 87, 88, 89, 94, 97, 102, 103, 138, 260, 283)",0.07761037935883486,0.23369505385698863,11.0
"(9, 19, 70, 74, 87, 88, 89, 94, 96, 102, 138)",0.14340174963490782,0.10590458462187569,11.0
"(9, 13, 19, 87, 88, 89, 94, 96, 102, 103, 138)",0.12663146403003023,0.11492530314850669,11.0
"(9, 19, 87, 88, 89, 94, 96, 102, 103, 138, 260)",0.10194421722099989,0.1314428190703082,11.0
"(87, 88, 89, 94, 97, 102, 103, 138, 171, 260, 283)",0.07172696537745282,0.282733686452028,11.0
"(19, 87, 88, 89, 94, 97, 102, 103, 138, 260, 281)",0.08008581401220882,0.19518918210711045,11.0
"(9, 19, 87, 88, 89, 94, 97, 102, 103, 138, 262)",0.08977661381171376,0.14064910113309403,11.0
"(19, 87, 88, 89, 94, 96, 97, 102, 103, 138, 260)",0.08467898071935087,0.18510323002334395,11.0
"(9, 19, 87, 88, 89, 94, 95, 97, 102, 103, 138)",0.11029809951600777,0.12244591411060557,11.0
"(9, 19, 70, 74, 87, 88, 89, 94, 95, 102, 138)",0.17234207673331725,0.09553731158230405,11.0
"(30, 87, 88, 89, 94, 97, 102, 103, 138, 260)",0.08794631696481703,0.23102779658973704,10.0
"(87, 88, 89, 94, 97, 102, 103, 138, 171, 260)",0.08199445856231158,0.28286729319466597,10.0
"(9, 13, 19, 87, 88, 89, 94, 96, 102, 138)",0.14387006735812835,0.12301700961099593,10.0
"(9, 19, 70, 74, 88, 89, 94, 95, 102, 138)",0.19326415104645134,0.10707237662781333,10.0
"(9, 19, 87, 88, 89, 94, 97, 102, 138, 261)",0.10548838988037623,0.14899313135068193,10.0
"(9, 19, 87, 88, 89, 94, 95, 97, 102, 138)",0.12721403902911277,0.13060761443060287,10.0
"(19, 87, 88, 89, 94, 97, 102, 103, 138, 262)",0.08977661381171376,0.1952974484351473,10.0
"(9, 22, 87, 88, 89, 94, 97, 102, 138, 260)",0.10445550316472996,0.17392052412277692,10.0
"(9, 13, 19, 87, 88, 89, 94, 95, 102, 138)",0.17282677933642188,0.11244982768790723,10.0
"(9, 19, 87, 88, 89, 94, 96, 102, 138, 260)",0.11869979523101748,0.13968986814671847,10.0
"(9, 19, 70, 75, 88, 89, 94, 96, 102, 138)",0.16327543476349404,0.12061148327255056,10.0
"(9, 19, 88, 89, 94, 95, 97, 102, 138, 262)",0.126400859180113,0.13882767367957294,10.0
"(9, 19, 87, 88, 89, 94, 95, 96, 102, 138)",0.14354697018327622,0.13023602934652956,10.0
"(20, 87, 88, 89, 94, 96, 102, 103, 138, 260)",0.10194264178339496,0.18617932880402832,10.0
"(9, 19, 87, 88, 89, 94, 96, 102, 138)",0.14387006735812835,0.1436411979643465,9.0
