Energy Grid,Fitness_1,Fitness_2,Fitness_3
"(3, 6, 7, 9, 13, 14, 18, 23, 71, 78, 88, 89, 91, 94, 95, 97, 108, 110, 138)",0.04975510783265635,0.011842872505285373,0.09710705558678734
"(3, 6, 7, 9, 13, 14, 19, 23, 72, 73, 88, 89, 94, 95, 102, 103, 108, 110, 138)",0.08900012106622612,0.011555654107705426,0.044106962482848844
"(3, 6, 7, 9, 10, 13, 14, 19, 23, 78, 88, 89, 91, 94, 95, 97, 108, 110, 135)",0.05177489940613755,0.008859331488223376,0.11965772259077556
"(3, 6, 7, 9, 10, 12, 13, 14, 17, 19, 21, 24, 71, 78, 88, 89, 94, 97, 122)",0.09356332171370729,0.003463267466764064,0.15316783371235643
"(3, 6, 7, 9, 13, 19, 23, 70, 72, 73, 88, 89, 94, 95, 102, 103, 108, 110, 134)",0.09277019300540879,0.017800537928673532,0.03193285596290063
"(3, 6, 7, 9, 13, 19, 25, 78, 88, 89, 91, 94, 95, 97, 102, 103, 108, 110, 138)",0.042177376832451485,0.01964170627009021,0.10365523312574787
"(3, 6, 7, 9, 13, 19, 23, 71, 73, 88, 89, 94, 95, 97, 101, 103, 108, 110, 138)",0.07144177666272522,0.0177819247879355,0.04884281369818533
"(3, 6, 7, 9, 10, 12, 13, 14, 17, 19, 23, 76, 88, 89, 91, 94, 95, 97, 122)",0.07985140073980224,0.004557011492965168,0.13409812869516968
"(3, 6, 7, 9, 10, 11, 13, 14, 17, 19, 23, 71, 75, 88, 89, 91, 94, 97, 124)",0.08353563515053719,0.0058228112665572596,0.12980605776955478
"(3, 6, 7, 9, 10, 13, 14, 19, 23, 70, 76, 88, 89, 91, 94, 95, 97, 124, 161)",0.07086073703469231,0.008756881289699536,0.09201916252816644
"(6, 7, 9, 13, 19, 23, 68, 76, 78, 88, 89, 91, 94, 95, 97, 108, 110, 122, 165)",0.044974624210360026,0.02513265790290764,0.09734862393035326
"(3, 6, 7, 9, 10, 12, 13, 14, 17, 19, 23, 71, 73, 88, 89, 91, 94, 97, 122)",0.08528207393036746,0.0046321184618296485,0.10746268425702488
"(3, 6, 7, 9, 13, 14, 19, 70, 72, 73, 88, 89, 94, 95, 102, 103, 108, 110, 138)",0.08900012106622612,0.022621934512188413,0.030889532501770955
"(3, 6, 7, 9, 13, 14, 19, 23, 68, 76, 88, 89, 91, 94, 95, 97, 108, 110, 133)",0.05745737558334052,0.011464429052488012,0.0910585817060724
"(3, 6, 7, 9, 10, 13, 14, 18, 19, 24, 72, 73, 88, 89, 91, 94, 95, 97, 138)",0.08494116465442703,0.007449374642215623,0.07150631381088268
"(6, 7, 9, 13, 19, 23, 71, 73, 78, 88, 89, 91, 94, 95, 97, 102, 108, 110, 138)",0.04780299201649074,0.025337354804215173,0.05547184019727758
"(3, 6, 7, 9, 13, 14, 19, 23, 70, 72, 73, 88, 89, 91, 94, 95, 108, 110, 125)",0.08567291112486097,0.01153191082978089,0.04939781199370574
"(3, 6, 7, 9, 13, 14, 18, 21, 70, 76, 88, 89, 91, 94, 95, 97, 108, 110, 138)",0.053206271557349694,0.012550189465451944,0.08296902307774157
"(6, 7, 9, 13, 19, 71, 73, 74, 88, 89, 91, 94, 95, 97, 102, 103, 108, 110, 138)",0.04850564017155923,0.03658462227218251,0.04051019830561131
"(6, 7, 9, 13, 14, 19, 23, 71, 73, 88, 89, 91, 94, 95, 97, 108, 110, 138, 166)",0.0531473120539212,0.019055519940744503,0.055777370760881295
"(3, 6, 7, 9, 10, 12, 13, 14, 17, 19, 23, 70, 76, 88, 89, 94, 95, 97, 122)",0.09596414569242973,0.004573207742257668,0.09597271388807282
"(3, 6, 7, 9, 10, 11, 13, 14, 17, 19, 23, 71, 73, 88, 89, 91, 94, 97, 124)",0.08614609175675647,0.005856421174164517,0.10572127760296135
"(6, 7, 9, 13, 14, 19, 78, 83, 88, 89, 91, 94, 95, 97, 102, 103, 108, 110, 138)",0.03806961072929593,0.030269684799232532,0.10343489863675293
"(3, 6, 7, 9, 13, 19, 78, 82, 88, 89, 91, 94, 97, 98, 102, 103, 108, 110, 138)",0.037932293373053594,0.02900339602045021,0.1475005371376561
"(6, 9, 13, 19, 70, 78, 82, 88, 89, 91, 94, 95, 97, 102, 103, 108, 110, 138, 209)",0.034554311774126156,0.060526694481078724,0.09083066119771532
"(3, 6, 7, 9, 13, 14, 19, 71, 74, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138)",0.06407858345988848,0.02264378826386404,0.04630628177609886
"(3, 6, 7, 9, 13, 19, 71, 73, 75, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138)",0.06271214517080581,0.028935387960938197,0.03835537070463135
"(3, 6, 7, 9, 13, 14, 19, 23, 70, 73, 76, 88, 89, 94, 95, 97, 108, 110, 138)",0.06885782751963732,0.011502785278080685,0.061458663472945485
"(3, 6, 7, 9, 10, 13, 14, 17, 19, 23, 78, 88, 89, 91, 94, 95, 97, 122, 166)",0.06356831778667371,0.006654126016731654,0.12974072643254597
"(3, 6, 7, 9, 13, 19, 23, 71, 73, 88, 89, 91, 94, 95, 97, 102, 108, 110, 138)",0.055350190728303494,0.017778420723493338,0.05263179893100478
"(3, 6, 7, 9, 13, 21, 66, 76, 88, 89, 91, 94, 95, 97, 102, 103, 108, 110, 138)",0.045595803302200255,0.02502454149029354,0.08337761931999965
"(6, 7, 9, 13, 21, 71, 73, 76, 88, 89, 91, 94, 95, 97, 102, 103, 108, 110, 138)",0.045595803302200255,0.03273179649420699,0.0431856090920556
"(3, 6, 7, 9, 10, 13, 14, 18, 21, 24, 71, 74, 88, 89, 94, 97, 108, 110, 138)",0.07302668513074773,0.00673052823880349,0.1022960887005302
"(3, 6, 7, 8, 9, 10, 12, 13, 14, 17, 19, 21, 24, 78, 88, 89, 94, 97, 122)",0.0935689552155945,0.0028889817712491883,0.17857413653759657
"(3, 6, 7, 9, 13, 14, 19, 23, 71, 72, 73, 88, 89, 94, 95, 97, 108, 110, 135)",0.07510147763001374,0.01156603043103277,0.04783785996161449
"(3, 6, 7, 9, 13, 19, 23, 70, 78, 88, 89, 91, 94, 95, 97, 102, 108, 110, 138)",0.04780622678864299,0.017792311050841003,0.0928983973312566
"(3, 6, 7, 9, 10, 13, 14, 18, 23, 71, 73, 88, 89, 90, 94, 95, 108, 110, 138)",0.08850037626324847,0.009148334903950617,0.05183534835417314
"(3, 6, 7, 9, 13, 14, 19, 23, 71, 73, 88, 89, 94, 95, 102, 103, 108, 112, 135)",0.10192869938973415,0.011553935620002509,0.04273848943673486
"(3, 6, 7, 9, 13, 19, 23, 71, 73, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138)",0.06526444574797863,0.01780410226432172,0.03695660334464801
