Energy Grid,Fitness_1,Fitness_2,N_Groups
"(6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 32, 80, 86, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 173, 260, 283)",0.04405203613259612,0.005331316110338213,28.0
"(6, 7, 9, 13, 14, 16, 20, 22, 23, 24, 28, 80, 86, 87, 88, 89, 90, 94, 96, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.03957767470765694,0.008110702611844767,28.0
"(4, 6, 7, 9, 10, 13, 14, 16, 20, 21, 22, 23, 24, 28, 34, 80, 86, 87, 88, 89, 94, 97, 108, 110, 138, 171, 257, 275)",0.07606279598368315,0.0037033252528051452,28.0
"(4, 6, 7, 8, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 34, 80, 82, 87, 88, 89, 94, 97, 109, 110, 138, 171, 261)",0.09788475497343141,0.00350762451665676,27.0
"(6, 7, 9, 13, 14, 16, 20, 23, 24, 28, 80, 86, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.04071240977893997,0.010169930826701035,26.0
"(6, 7, 9, 13, 14, 20, 21, 23, 24, 28, 86, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 171, 257, 283)",0.04270169377637112,0.013356697172671295,25.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 32, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260)",0.06285025210210227,0.005044428087462083,25.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 21, 22, 23, 24, 28, 33, 80, 81, 84, 87, 88, 89, 94, 97, 130, 258)",0.11861013330726033,0.003000068489620533,25.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 23, 24, 28, 31, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260)",0.06285248531139309,0.00704121381376388,24.0
"(9, 10, 13, 14, 20, 23, 24, 28, 85, 86, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.04068577160078912,0.018488232253738524,24.0
"(4, 9, 13, 14, 16, 20, 23, 24, 28, 86, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.04071315498644512,0.01530695754847311,24.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 83, 87, 88, 89, 94, 97, 103, 108, 110, 138, 253)",0.08932989290733728,0.004899343478812712,24.0
"(3, 4, 6, 7, 9, 10, 13, 14, 16, 17, 20, 21, 22, 23, 24, 28, 33, 80, 81, 87, 88, 89, 97, 130)",0.2176399106015261,0.002854193357647916,24.0
"(3, 4, 6, 7, 9, 10, 13, 14, 16, 20, 21, 22, 23, 24, 28, 33, 80, 81, 87, 88, 89, 94, 97, 130)",0.1487932582157414,0.002996517406043342,24.0
"(3, 4, 6, 7, 9, 10, 13, 14, 16, 17, 20, 21, 22, 23, 24, 28, 33, 80, 81, 87, 89, 97, 130)",0.25452477370993176,0.0029414892468261344,23.0
"(6, 9, 13, 16, 20, 23, 24, 86, 87, 88, 89, 90, 94, 96, 97, 102, 103, 108, 110, 138, 180, 260, 283)",0.04068367401230433,0.025608974571693977,23.0
"(3, 4, 6, 7, 9, 10, 13, 14, 16, 20, 21, 22, 23, 24, 28, 80, 81, 88, 89, 94, 97, 130)",0.16505296000882252,0.003417604791876472,22.0
"(6, 9, 13, 16, 23, 24, 86, 87, 88, 89, 90, 94, 96, 97, 102, 103, 108, 110, 138, 180, 260, 283)",0.04068367401230433,0.03342912242592366,22.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 23, 24, 28, 83, 87, 88, 89, 94, 97, 108, 110, 138, 253)",0.0893594867110925,0.006953433744201765,22.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 21, 23, 24, 28, 80, 81, 87, 88, 89, 94, 97, 138, 258)",0.11138605822278236,0.004435354038173411,22.0
"(7, 9, 13, 14, 16, 20, 23, 24, 86, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 168, 260, 283)",0.04434757593581462,0.020335364967417058,22.0
"(6, 7, 9, 10, 13, 14, 16, 20, 23, 24, 28, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260)",0.06285873075545811,0.00873913321040154,22.0
"(9, 13, 20, 23, 24, 85, 86, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.040686196958728105,0.03822430087708406,21.0
"(6, 7, 9, 10, 13, 14, 16, 20, 23, 24, 28, 86, 88, 89, 94, 97, 104, 108, 110, 138, 260)",0.08758195986743367,0.008742262293520597,21.0
"(6, 7, 9, 13, 14, 16, 20, 23, 24, 28, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260)",0.06285873075545811,0.011291209783153122,21.0
"(6, 7, 9, 13, 14, 20, 23, 24, 28, 80, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260)",0.062410632496776475,0.013788101961977883,21.0
"(6, 7, 9, 13, 14, 16, 20, 23, 24, 28, 87, 88, 89, 94, 97, 100, 108, 110, 138, 257)",0.08552067375429839,0.011265389439287565,20.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 21, 22, 23, 24, 28, 36, 70, 88, 89, 122, 138)",0.2349833394394235,0.004337908771569365,20.0
"(9, 10, 13, 14, 20, 23, 28, 86, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.047717258968283605,0.02487318921114301,20.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 21, 22, 23, 24, 28, 36, 80, 81, 88, 89, 124)",0.25470826470943775,0.003323231630272816,20.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 21, 22, 23, 24, 28, 33, 80, 81, 84, 89, 138)",0.3512707046108995,0.003159622889514213,20.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 80, 88, 89, 94, 97, 138, 260)",0.13121829112494687,0.004577215333748552,20.0
"(6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 87, 88, 89, 94, 97, 101, 138, 255)",0.10640374660886831,0.006767036586959652,20.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 80, 88, 89, 94, 97, 124, 138)",0.1552529224710678,0.00445393157465368,20.0
"(6, 7, 9, 10, 13, 14, 20, 23, 24, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260)",0.06286613281713693,0.01565228282531539,20.0
"(9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 87, 88, 89, 94, 97, 108, 110, 138, 260)",0.08723949798574282,0.012929530922639154,19.0
"(6, 7, 9, 13, 14, 20, 23, 24, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260)",0.06286613281713693,0.01822232958240111,19.0
"(6, 7, 9, 13, 14, 16, 20, 23, 24, 28, 81, 87, 88, 89, 94, 97, 101, 138, 259)",0.10393459993211751,0.01098466345105531,19.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 21, 22, 23, 24, 28, 33, 80, 81, 89, 138)",0.38313019770003975,0.003345832604893406,19.0
"(6, 7, 9, 10, 13, 14, 16, 20, 23, 24, 28, 87, 88, 89, 94, 97, 101, 138, 260)",0.10520935538639453,0.008823790235912843,19.0
"(9, 13, 14, 20, 23, 24, 29, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 260, 273)",0.060749479834079745,0.021898859891066325,19.0
"(9, 13, 16, 23, 29, 86, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.043849188371547054,0.0393939887584851,19.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 80, 88, 89, 94, 97, 124)",0.1801194587525229,0.004458043772501918,19.0
"(6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 88, 89, 94, 97, 101, 138, 257)",0.12721611470610994,0.006784657192489885,19.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 21, 22, 23, 24, 28, 80, 81, 89, 138)",0.3831315052069918,0.00364707411555254,18.0
"(9, 13, 16, 20, 23, 24, 33, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 257)",0.06288608618466984,0.024251423930749194,18.0
"(9, 13, 14, 16, 20, 22, 23, 24, 28, 87, 88, 89, 94, 97, 108, 110, 138, 260)",0.08723949798574282,0.01549246993829645,18.0
"(6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 88, 89, 94, 97, 126, 258)",0.14885975949416852,0.006791430183328617,18.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 21, 22, 23, 24, 28, 80, 81, 89, 124)",0.4115987667613731,0.0035618708547060507,18.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 36, 80, 88, 89, 126)",0.25781867683409443,0.004299800816703114,18.0
"(6, 7, 9, 13, 14, 20, 23, 24, 87, 88, 89, 94, 97, 102, 103, 110, 138, 258)",0.08308320458487306,0.018232699130798946,18.0
